Metabolite name	Metabolite description	Formula	Charge			
creat[e]	Creatine extracellular	C4H9N3O2	0			
adrnl[e]	Adrenaline extracellular	C9H14NO3	1			
1pyr5c[m]	1-Pyrroline-5-carboxylate mitochondria	C5H6NO2	-1			
co[e]	Carbon monoxide extracellular	CO	0			
Sfglutth[c]	S-Formylglutathione cytosol	C11H16N3O7S	-1			
thbpt4acam[c]	Tetrahydrobiopterin-4a-carbinolamine cytosol	C9H15N5O4	0			
fru[e]	D-Fructose extracellular	C6H12O6	0			
ppbng[c]	Porphobilinogen cytosol	C10H13N2O4	-1			
acac[m]	Acetoacetate mitochondria	C4H5O3	-1			
lac_D[c]	D-Lactate cytosol	C3H5O3	-1			
atp[c]	ATP cytosol	C10H12N5O13P3	-4			
fru[c]	D-Fructose cytosol	C6H12O6	0			
cdp[c]	CDP cytosol	C9H12N3O11P2	-3			
methf[m]	"5,10-Methenyltetrahydrofolate mitochondria"	C20H20N7O6	-1			
pail345p_hs_18_1_20_4[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
cdpdag_hs_16_0_18_2[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
cdpdag_hs_16_0_18_0[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
pa_hs_18_1_18_2[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
dag_hs_16_0_20_4[c]	diacylglycerol (homo sapiens) cytosol	C3H6OFULLRCO2FULLR2CO2	0			
xan[x]	Xanthine peroxisome	C5H4N4O2	0			
arachdcoa[c]	C20:4-CoA cytosol	C41H62N7O17P3S	-4			
pail_hs_16_0_18_0[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
13dpg[c]	3-Phospho-D-glyceroyl phosphate cytosol	C3H4O10P2	-4			
3mgcoa[m]	3-Methylglutaconyl-CoA mitochondria	C27H37N7O19P3S	-5			
hxan[e]	Hypoxanthine extracellular	C5H4N4O	0			
hxan[c]	Hypoxanthine cytosol	C5H4N4O	0			
pmtcoa[c]	Palmitoyl-CoA (n-C16:0CoA) cytosol	C37H62N7O17P3S	-4			
paf_hs[c]	1-alkyl 2-acteylglycerol 3-phosphocholine (homo sapiens) cytosol	C11H23O4NPFULLRCO2	0			
pail345p_hs_18_0_18_0[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
chol[e]	Choline extracellular	C5H14NO	1			
paf_hs[e]	1-alkyl 2-acteylglycerol 3-phosphocholine (homo sapiens) extracellular	C11H23O4NPFULLRCO2	0			
4hphac[c]	4-Hydroxyphenylacetate cytosol	C8H7O3	-1			
4hphac[e]	4-Hydroxyphenylacetate extracellular	C8H7O3	-1			
pmtcoa[m]	Palmitoyl-CoA (n-C16:0CoA) mitochondria	C37H62N7O17P3S	-4			
mag_hs_16_0[c]	monoacylglycerol 2 (homo sapiens) cytosol	C3H7O2FULLR2CO2	0			
lys_L[e]	L-Lysine extracellular	C6H15N2O2	1			
lys_L[c]	L-Lysine cytosol	C6H15N2O2	1			
pail34p_hs_16_0_18_1[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
drib[c]	Deoxyribose cytosol	C5H10O4	0			
hmbil[c]	Hydroxymethylbilane cytosol	C40H38N4O17	-8			
Tyr_ggn[c]	Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis) cytosol	XOH	0			
cgly[e]	Cys-Gly extracellular	C5H10N2O3S	0			
3hmbcoa[m]	(S)-3-Hydroxy-2-methylbutyryl-CoA mitochondria	C26H40N7O18P3S	-4			
thymd[e]	Thymidine extracellular	C10H14N2O5	0			
pchol_hs_18_1_18_1[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
thymd[c]	Thymidine cytosol	C10H14N2O5	0			
2dr1p[c]	2-Deoxy-D-ribose 1-phosphate cytosol	C5H9O7P	-2			
ps_hs_18_0_18_2[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
glucys[c]	gamma-L-Glutamyl-L-cysteine cytosol	C8H13N2O5S	-1			
4nphsf[e]	4-Nitrophenyl sulfate extracellular	C6H4NO6S	-1			
pi[r]	Phosphate ER	HO4P	-2			
4nphsf[c]	4-Nitrophenyl sulfate cytosol	C6H4NO6S	-1			
34dhpha[c]	"3,4-Dihydroxyphenylacetate cytosol"	C8H7O4	-1			
udp[c]	UDP cytosol	C9H11N2O12P2	-3			
pi[m]	Phosphate mitochondria	HO4P	-2			
pi[c]	Phosphate cytosol	HO4P	-2			
pi[e]	Phosphate extracellular	HO4P	-2			
prpp[c]	5-Phospho-alpha-D-ribose 1-diphosphate cytosol	C5H8O14P3	-5			
pheacgln[e]	alpha-N-Phenylacetyl-L-glutamine extracellular	C13H16N2O4	0			
pail45p_hs_18_0_18_1[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
paps[c]	3'-Phosphoadenylyl sulfate cytosol	C10H11N5O13P2S	-4			
leuktrA4[r]	Leukotriene A4 ER	C20H29O3	-1			
pheacgln[c]	alpha-N-Phenylacetyl-L-glutamine cytosol	C13H16N2O4	0			
cl[c]	Chloride cytosol	Cl	-1			
fprica[c]	5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide cytosol	C10H13N4O9P	-2			
tym[c]	Tyramine cytosol	C8H12NO	1			
pail345p_hs_18_1_18_1[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
e4p[c]	D-Erythrose 4-phosphate cytosol	C4H7O7P	-2			
pail34p_hs_18_1_18_1[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
leuktrA4[c]	Leukotriene A4 cytosol	C20H29O3	-1			
ps_hs_18_1_18_2[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
ctp[c]	CTP cytosol	C9H12N3O14P3	-4			
3hbcoa[m]	(S)-3-Hydroxybutanoyl-CoA mitochondria	C25H38N7O18P3S	-4			
pail_hs_16_0_18_2[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
pppg9[c]	Protoporphyrinogen IX cytosol	C34H38N4O4	-2			
estrone[c]	Estrone cytosol	C18H22O2	0			
gal[c]	D-Galactose cytosol	C6H12O6	0			
gal[e]	D-Galactose extracellular	C6H12O6	0			
glu5sa[m]	L-Glutamate 5-semialdehyde mitochondria	C5H9NO3	0			
accoa[c]	Acetyl-CoA cytosol	C23H34N7O17P3S	-4			
meoh[c]	Methanol cytosol	CH4O1	0			
accoa[m]	Acetyl-CoA mitochondria	C23H34N7O17P3S	-4			
gar[c]	N1-(5-Phospho-D-ribosyl)glycinamide cytosol	C7H14N2O8P	-1			
phe_L[e]	L-Phenylalanine extracellular	C9H11NO2	0			
phe_L[c]	L-Phenylalanine cytosol	C9H11NO2	0			
glc_D[c]	D-Glucose cytosol	C6H12O6	0			
hgentis[c]	Homogentisate cytosol	C8H7O4	-1			
thf[m]	"5,6,7,8-Tetrahydrofolate mitochondria"	C19H21N7O6	-2			
glc_D[e]	D-Glucose extracellular	C6H12O6	0			
pchol_hs_16_0_18_0[c]	"phosphatidylcholine (homo sapiens, C16:0, C18:0) cytosol"	C42H84NO8P	0			
3moxtyr[c]	3-Methoxytyramine cytosol	C9H14NO2	1			
cytd[c]	Cytidine cytosol	C9H13N3O5	0			
glc_D[r]	D-Glucose ER	C6H12O6	0			
23dpg[c]	"2,3-Disphospho-D-glycerate cytosol"	C3H3O10P2	-5			
cytd[e]	Cytidine extracellular	C9H13N3O5	0			
pa_hs_16_0_16_0[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
34dhphe[c]	"3,4-Dihydroxy-L-phenylalanine cytosol"	C9H11NO4	0			
tdcoa[c]	Tetradecanoyl-CoA (n-C14:0CoA) cytosol	C35H58N7O17P3S	-4			
ala_L[e]	L-Alanine extracellular	C3H7NO2	0			
o2s[x]	Superoxide anion peroxisome	O2	-1			
hco3[m]	Bicarbonate mitochondria	CHO3	-1			
hco3[c]	Bicarbonate cytosol	CHO3	-1			
12harachd[c]	12 hydroxy arachidonic acid cytosol	C20H31O3	-1			
gua[c]	Guanine cytosol	C5H5N5O	0			
pail4p_hs_18_1_18_2[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
hco3[e]	Bicarbonate extracellular	CHO3	-1			
pail4p_hs_16_0_18_1[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
pail45p_hs_18_2_20_4[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
o2s[m]	Superoxide anion mitochondria	O2	-1			
o2s[c]	Superoxide anion cytosol	O2	-1			
ps_hs_18_0_20_4[c]	"phosphatidylserine (homo sapiens, C18:0, C20:4) cytosol"	C44H77NO10P	-1			
pail45p_hs_16_0_18_2[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
3hibutcoa[m]	(S)-3-Hydroxyisobutyryl-CoA mitochondria	C25H38N7O18P3S	-4			
g6p[r]	D-Glucose 6-phosphate ER	C6H11O9P	-2			
15HPET[c]	15-Hydroperoxyeicosatetraenoic acid cytosol	C20H31O4	-1			
leu_L[e]	L-Leucine extracellular	C6H13NO2	0			
leu_L[c]	L-Leucine cytosol	C6H13NO2	0			
stcrn[c]	stearoylcarnitine cytosol	C25H49NO4	0			
34dhpac[c]	"3,4-Dihydroxyphenylacetaldehyde cytosol"	C8H8O3	0			
pchol_hs_18_0_20_4[c]	"phosphatidylcholine (homo sapiens, C18:0, C20:4) cytosol"	C46H84NO8P	0			
ala_L[c]	L-Alanine cytosol	C3H7NO2	0			
6pgl[c]	"6-phospho-D-glucono-1,5-lactone cytosol"	C6H9O9P	-2			
mag_hs_18_1[c]	monoacylglycerol 2(homo sapiens C18:1) cytosol	C21H40O4	0			
pail4p_hs_18_2_20_4[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
mmcoa_R[m]	(R)-Methylmalonyl-CoA mitochondria	C25H35N7O19P3S	-5			
pail345p_hs_18_0_18_2[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
pail45p_hs_16_0_20_4[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
pail45p_hs_18_0_18_2[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
alpha_hs_18_0[c]	lysophosphatidic acid cytosol	C3H6O5PFULLRCO2	0			
gly[m]	Glycine mitochondria	C2H5NO2	0			
citr_L[m]	L-Citrulline mitochondria	C6H13N3O3	0			
citr_L[c]	L-Citrulline cytosol	C6H13N3O3	0			
gluala[e]	5-L-Glutamyl-L-alanine extracellular	C8H13N2O5	-1			
gly[e]	Glycine extracellular	C2H5NO2	0			
fadh2[m]	Flavin adenine dinucleotide reduced mitochondria	C27H33N9O15P2	-2			
gly[c]	Glycine cytosol	C2H5NO2	0			
txb2[c]	Thromboxane B2 cytosol	C20H34O6	0			
pail345p_hs_16_0_20_4[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
ps_hs_18_0_18_0[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
dhap[c]	Dihydroxyacetone phosphate cytosol	C3H5O6P	-2			
pchol_hs_18_0_18_0[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
succoa[m]	Succinyl-CoA mitochondria	C25H35N7O19P3S	-5			
r1p[c]	alpha-D-Ribose 1-phosphate cytosol	C5H9O8P	-2			
dag_hs_18_1_18_2[c]	diacylglycerol (homo sapiens) cytosol	C3H6OFULLRCO2FULLR2CO2	0			
pa_hs_18_2_20_4[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
sucsal[m]	Succinic semialdehyde mitochondria	C4H5O3	-1			
uppg3[c]	Uroporphyrinogen III cytosol	C40H36N4O16	-8			
6pgc[c]	6-Phospho-D-gluconate cytosol	C6H10O10P	-3			
oh1[c]	hydroxide ion cytosol	HO	-1			
adn[e]	Adenosine extracellular	C10H13N5O4	0			
ascb_L[c]	L-Ascorbate cytosol	C6H8O6	0			
h2co3[c]	carbonic acid cytosol	H2CO3	0			
oh1[e]	hydroxide ion extracellular	HO	-1			
cdpdag_hs_16_0_20_4[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
tymsf[c]	Tyramine O-sulfate cytosol	C8H11NO4S	0			
cdpdag_hs_16_0_18_1[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
acetol[c]	Acetol cytosol	C3H6O2	0			
tymsf[e]	Tyramine O-sulfate extracellular	C8H11NO4S	0			
pail345p_hs_18_2_20_4[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
pail45p_hs_18_1_18_2[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
h[r]	H+ ER	H	1			
h[x]	H+ peroxisome	H	1			
h[e]	H+ extracellular	H	1			
h[c]	H+ cytosol	H	1			
h[m]	H+ mitochondria	H	1			
pail34p_hs_16_0_18_2[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
pail34p_hs_20_4_20_4[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
pail34p_hs_16_0_18_0[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
glu_L[c]	L-Glutamate cytosol	C5H8NO4	-1			
din[c]	Deoxyinosine cytosol	C10H12N4O4	0			
pail345p_hs_18_0_18_1[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
cala[c]	N-Carbamoyl-beta-alanine cytosol	C4H7N2O3	-1			
adp[e]	ADP extracellular	C10H12N5O10P2	-3			
gthox[m]	Oxidized glutathione mitochondria	C20H30N6O12S2	-2			
etfrd[m]	Electron transfer flavoprotein reduced mitochondria	RH2	0			
adp[c]	ADP cytosol	C10H12N5O10P2	-3			
25aics[c]	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate cytosol	C13H15N4O12P	-4			
adp[m]	ADP mitochondria	C10H12N5O10P2	-3			
gthox[e]	Oxidized glutathione extracellular	C20H30N6O12S2	-2			
amp[c]	AMP cytosol	C10H12N5O7P	-2			
dag_hs_16_0_18_0[c]	"diacylglycerol (homo sapiens, C16:0, C18:0) cytosol"	C37H72O5	0			
dcacoa[c]	Decanoyl-CoA (n-C10:0CoA) cytosol	C31H50N7O17P3S	-4			
gthox[c]	Oxidized glutathione cytosol	C20H30N6O12S2	-2			
acrn[c]	O-Acetylcarnitine cytosol	C9H17NO4	0			
ade[c]	Adenine cytosol	C5H5N5	0			
2mp2coa[m]	2-Methylprop-2-enoyl-CoA mitochondria	C25H36N7O17P3S	-4			
pail4p_hs_20_4_20_4[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
cdpdag_hs_18_2_20_4[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
dag_hs_16_0_18_2[c]	diacylglycerol (homo sapiens) cytosol	C3H6OFULLRCO2FULLR2CO2	0			
nrpphrsf[e]	Sulfate derivative of norepinephrine extracellular	C8H11NO6S	0			
hista[e]	Histamine extracellular	C5H10N3	1			
hista[c]	Histamine cytosol	C5H10N3	1			
pheme[m]	Protoheme mitochondria	C34H30FeN4O4	-2			
cl[e]	Chloride extracellular	Cl	-1			
pheme[e]	Protoheme extracellular	C34H30FeN4O4	-2			
pheme[c]	Protoheme cytosol	C34H30FeN4O4	-2			
lpchol_hs_18_0[c]	"lysophosphatidylcholine (homo sapiens, C18:0) cytosol"	C26H54NO7P	0			
pail_hs_18_1_20_4[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
ps_hs_18_0_18_1[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
cit[e]	Citrate extracellular	C6H5O7	-3			
lpchol_hs_18_2[c]	lysophosphatidylcholine (homo sapiens) cytosol	C8H19NO5PFULLRCO2	0			
pail4p_hs_18_2_18_2[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
cdpchol[c]	CDPcholine cytosol	C14H25N4O11P2	-1			
lpchol_hs_20_4[c]	lysophosphatidylcholine (homo sapiens) cytosol	C8H19NO5PFULLRCO2	0			
srtn[c]	Serotonin cytosol	C10H13N2O	1			
ps_hs_18_1_18_1[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
fum[c]	Fumarate cytosol	C4H2O4	-2			
3dhguln[c]	3-Dehydro-L-gulonate cytosol	C6H9O7	-1			
srtn[e]	Serotonin extracellular	C10H13N2O	1			
2mop[m]	2-Methyl-3-oxopropanoate mitochondria	C4H5O3	-1			
Lcystin[c]	L-Cystine cytosol	C6H12N2O4S2	0			
fum[m]	Fumarate mitochondria	C4H2O4	-2			
arachd[r]	arachidonic acid ER	C20H31O2	-1			
stcoa[c]	Stearoyl-CoA (n-C18:0CoA) cytosol	C39H66N7O17P3S	-4			
ps_hs_20_4_20_4[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
glyald[c]	D-Glyceraldehyde cytosol	C3H6O3	0			
arachd[e]	arachidonic acid extracellular	C20H31O2	-1			
r5p[c]	alpha-D-Ribose 5-phosphate cytosol	C5H9O8P	-2			
adrnl[c]	Adrenaline cytosol	C9H14NO3	1			
lgt_S[c]	(R)-S-Lactoylglutathione cytosol	C13H20N3O8S	-1			
arachd[c]	arachidonic acid cytosol	C20H31O2	-1			
estrones[c]	Estrone 3-sulfate cytosol	C18H21O5S	-1			
pail_hs_16_0_18_1[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
ggn[c]	"primed glycogenin (glycogenin-8[1,4-Glc]) cytosol"	C48H81O41X	0			
icit[m]	Isocitrate mitochondria	C6H5O7	-3			
etha[c]	Ethanolamine cytosol	C2H8NO	1			
icit[c]	Isocitrate cytosol	C6H5O7	-3			
occoa[m]	Octanoyl-CoA (n-C8:0CoA) mitochondria	C29H46N7O17P3S	-4			
pchol_hs_16_0_18_2[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
mthgxl[c]	Methylglyoxal cytosol	C3H4O2	0			
g6p[c]	D-Glucose 6-phosphate cytosol	C6H11O9P	-2			
occoa[c]	Octanoyl-CoA (n-C8:0CoA) cytosol	C29H46N7O17P3S	-4			
pail345p_hs_18_1_18_2[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
q10[m]	Ubiquinone-10 mitochondria	C59H90O4	0			
dmgly[m]	"N,N-Dimethylglycine mitochondria"	C4H9NO2	0			
lnlccrn[m]	Linoleyl carnitine mitochondria	C25H45NO4	0			
4abut[c]	4-Aminobutanoate cytosol	C4H9NO2	0			
4abut[m]	4-Aminobutanoate mitochondria	C4H9NO2	0			
lnlccrn[c]	Linoleyl carnitine cytosol	C25H45NO4	0			
ade[e]	Adenine extracellular	C5H5N5	0			
pchol_hs_18_0_18_1[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
12ppd_R[c]	"(R)-Propane-1,2-diol cytosol"	C3H8O2	0			
pa_hs_18_0_18_0[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
pail4p_hs_16_0_18_2[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
pail45p_hs_18_0_18_0[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
pail45p_hs_18_1_18_1[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
4mlacac[c]	4-Maleylacetoacetate cytosol	C8H6O6	-2			
pa_hs_18_0_18_2[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
odecoa[c]	Octadecenoyl-CoA (n-C18:1CoA) cytosol	C39H64N7O17P3S	-4			
g1p[c]	D-Glucose 1-phosphate cytosol	C6H11O9P	-2			
leuktrE4[c]	leukotriene E4 cytosol	C23H36NO5S	-1			
ppp9[m]	Protoporphyrin mitochondria	C34H32N4O4	-2			
odecoa[m]	Octadecenoyl-CoA (n-C18:1CoA) mitochondria	C39H64N7O17P3S	-4			
ps_hs_16_0_18_0[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
pail4p_hs_18_1_20_4[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
5HPET[c]	"5-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoate cytosol"	C20H31O4	-1			
ps_hs_16_0_18_2[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
pail4p_hs_16_0_18_0[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
udpg[c]	UDPglucose cytosol	C15H22N2O17P2	-2			
cdpdag_hs_18_0_18_1[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
pchol_hs_18_2_20_4[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
met_L[c]	L-Methionine cytosol	C5H11NO2S	0			
met_L[e]	L-Methionine extracellular	C5H11NO2S	0			
gthrd[r]	Reduced glutathione ER	C10H16N3O6S	-1			
ppcoa[m]	Propanoyl-CoA mitochondria	C24H36N7O17P3S	-4			
gthrd[m]	Reduced glutathione mitochondria	C10H16N3O6S	-1			
pail34p_hs_18_1_20_4[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
pyr[m]	Pyruvate mitochondria	C3H3O3	-1			
co2[m]	CO2 mitochondria	CO2	0			
ocdca[c]	octadecanoate (n-C18:0) cytosol	C18H35O2	-1			
gthrd[e]	Reduced glutathione extracellular	C10H16N3O6S	-1			
co2[c]	CO2 cytosol	CO2	0			
gthrd[c]	Reduced glutathione cytosol	C10H16N3O6S	-1			
co2[e]	CO2 extracellular	CO2	0			
mmcoa_S[m]	(S)-Methylmalonyl-CoA mitochondria	C25H35N7O19P3S	-5			
mi145p[c]	"1D-myo-Inositol 1,4,5-trisphosphate cytosol"	C6H9O15P3	-6			
dhdascb[c]	Dehydroascorbate cytosol	C6H6O6	0			
glutcoa[m]	Glutaryl-CoA mitochondria	C26H37N7O19P3S	-5			
cpppg3[c]	Coproporphyrinogen III cytosol	C36H40N4O8	-4			
dhdascb[e]	Dehydroascorbate extracellular	C6H6O6	0			
pe_hs_16_0_20_4[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
arg_L[e]	L-Arginine extracellular	C6H15N4O2	1			
arg_L[c]	L-Arginine cytosol	C6H15N4O2	1			
mag_hs_18_0[c]	monoacylglycerol 2 (homo sapiens C18:0) cytosol	C21H42O4	0			
crn[c]	L-Carnitine cytosol	C7H15NO3	0			
gmp[c]	GMP cytosol	C10H12N5O8P	-2			
gmp[e]	GMP extracellular	C10H12N5O8P	-2			
crn[e]	L-Carnitine extracellular	C7H15NO3	0			
gln_L[m]	L-Glutamine mitochondria	C5H10N2O3	0			
crn[m]	L-Carnitine mitochondria	C7H15NO3	0			
pe_hs_18_1_18_1[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
mag_hs_18_2[c]	monoacylglycerol 2 (homo sapiens) cytosol	C3H7O2FULLR2CO2	0			
5mthf[e]	5-Methyltetrahydrofolate extracellular	C20H24N7O6	-1			
5mthf[c]	5-Methyltetrahydrofolate cytosol	C20H24N7O6	-1			
pacald[c]	Phenylacetaldehyde cytosol	C8H8O	0			
pe_hs_18_1_20_4[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
q10h2[m]	Ubiquinol-10 mitochondria	C59H92O4	0			
3mop[m]	(S)-3-Methyl-2-oxopentanoate mitochondria	C6H9O3	-1			
dag_hs_18_0_20_4[c]	"diacylglycerol (homo sapiens, C18:0, C20:4) cytosol"	C41H72O5	0			
alpha_hs_18_2[c]	lysophosphatidic acid cytosol	C3H6O5PFULLRCO2	0			
imp[c]	IMP cytosol	C10H11N4O8P	-2			
pail4p_hs_16_0_20_4[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
pail34p_hs_18_1_18_2[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
pail_hs_16_0_16_0[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
dag_hs_18_2_20_4[c]	diacylglycerol (homo sapiens) cytosol	C3H6OFULLRCO2FULLR2CO2	0			
creat[c]	Creatine cytosol	C4H9N3O2	0			
5hoxindoa[c]	5-Hydroxyindoleacetate cytosol	C10H8NO3	-1			
mi14p[c]	"1D-myo-Inositol 1,4-bisphosphate cytosol"	C6H10O12P2	-4			
cdpdag_hs_20_4_20_4[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
glygn1[c]	"glycogen, structure 1 (glycogenin-11[1,4-Glc]) cytosol"	C66H111O56X	0			
