Metabolite name	Metabolite description	Formula	Charge			
bilirub[e]	Bilirubin extracellular	C33H34N4O6	-2			
12ppd_S[c]	"(S)-Propane-1,2-diol cytosol"	C3H8O2	0			
bilirub[c]	Bilirubin cytosol	C33H34N4O6	-2			
gtp[c]	GTP cytosol	C10H12N5O14P3	-4			
5htrp[c]	5-Hydroxy-L-tryptophan cytosol	C11H12N2O3	0			
dmgly[c]	"N,N-Dimethylglycine cytosol"	C4H9NO2	0			
leuktrF4[c]	leukotriene F4 cytosol	C28H42N2O8S	-2			
gtp[m]	GTP mitochondria	C10H12N5O14P3	-4			
5moxact[c]	5-Methoxyindoleacetate cytosol	C11H10NO3	-1			
leuktrF4[e]	leukotriene F4 extracellular	C28H42N2O8S	-2			
o2[c]	O2 cytosol	O2	0			
utp[c]	UTP cytosol	C9H11N2O15P3	-4			
pap[c]	"Adenosine 3',5'-bisphosphate cytosol"	C10H11N5O10P2	-4			
o2[e]	O2 extracellular	O2	0			
dag_hs_20_4_20_4[c]	diacylglycerol (homo sapiens) cytosol	C3H6OFULLRCO2FULLR2CO2	0			
3mop[c]	(S)-3-Methyl-2-oxopentanoate cytosol	C6H9O3	-1			
o2[m]	O2 mitochondria	O2	0			
o2[r]	O2 ER	O2	0			
udpgal[c]	UDPgalactose cytosol	C15H22N2O17P2	-2			
lys_L[m]	L-Lysine mitochondria	C6H15N2O2	1			
pe_hs_20_4_20_4[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
cdpdag_hs_18_0_20_4[c]	"CDP diacylglycerol (homo sapiens, C18:0, C20:4) cytosol"	C50H83N3O15P2	-2			
o2[x]	O2 peroxisome	O2	0			
pail_hs_18_0_18_1[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
pail45p_hs_16_0_18_1[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
mi1p_D[c]	1D-myo-Inositol 1-phosphate cytosol	C6H11O9P	-2			
cmp[c]	CMP cytosol	C9H12N3O8P	-2			
adprib[e]	ADPribose extracellular	C15H21N5O14P2	-2			
pa_hs_16_0_18_1[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
adprib[c]	ADPribose cytosol	C15H21N5O14P2	-2			
ala_B[c]	beta-Alanine cytosol	C3H7NO2	0			
ala_B[m]	beta-Alanine mitochondria	C3H7NO2	0			
ncam[e]	Nicotinamide extracellular	C6H6N2O	0			
txa2[e]	Thromboxane A2 extracellular	C20H31O5	-1			
txa2[c]	Thromboxane A2 cytosol	C20H31O5	-1			
ncam[c]	Nicotinamide cytosol	C6H6N2O	0			
xtsn[c]	Xanthosine cytosol	C10H12N4O6	0			
h2o[l]	H2O lysosome	H2O	0			
pep[c]	Phosphoenolpyruvate cytosol	C3H2O6P	-3			
pail34p_hs_18_0_18_0[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
L2aadp[c]	L-2-Aminoadipate cytosol	C6H10NO4	-1			
homoval[c]	Homovanillate cytosol	C9H9O4	-1			
txa2[r]	Thromboxane A2 ER	C20H31O5	-1			
35cgmp[e]	"3',5'-Cyclic GMP extracellular"	C10H11N5O7P	-1			
ind3ac[c]	Indole-3-acetate cytosol	C10H8NO2	-1			
35cgmp[c]	"3',5'-Cyclic GMP cytosol"	C10H11N5O7P	-1			
cdpdag_hs_18_1_18_1[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
pail_hs_18_1_18_1[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
asn_L[c]	L-Asparagine cytosol	C4H8N2O3	0			
pail34p_hs_18_0_18_2[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
asn_L[m]	L-Asparagine mitochondria	C4H8N2O3	0			
